driverId,week,hours-logged,miles-logged
608,13,72,4000
388,5,72,1100
744,48,73,3700
275,8,72,1400
105,35,58,1600
303,13,59,1000
394,29,64,3700
415,15,75,3500
343,35,60,200
816,42,78,3600
256,4,78,1000
71,39,66,1000
816,11,68,3100
410,32,56,1400
840,6,62,4000
968,9,66,0
779,48,52,1200
938,1,67,3800
415,13,66,2000
428,16,53,2200
34,48,74,3800
818,2,51,2900
430,37,71,4000
351,41,77,3000
873,40,71,200
422,33,68,2100
710,10,74,3100
372,6,59,1800
904,1,70,3700
697,14,53,1200
684,3,50,3000
188,2,64,300
588,7,58,3100
273,8,57,700
342,16,53,1800
663,32,63,3600
435,40,63,1900
853,52,80,3000
512,15,64,3500
990,29,54,0
146,11,59,900
310,46,66,400
561,19,58,2600
327,7,59,3400
880,39,77,200
580,46,52,800
833,46,56,900
737,48,64,700
786,25,68,1900
936,24,72,3300
755,8,78,3900
197,4,68,1800
315,9,78,2300
474,3,62,1500
435,16,50,3400
365,35,67,3700
258,21,58,300
562,41,73,3300
765,18,60,700
679,37,67,2900
948,3,69,900
235,4,51,1600
480,19,80,900
730,39,61,3600
640,11,58,3900
727,40,59,1500
159,28,67,300
782,30,69,1000
66,15,54,400
110,4,51,400
629,8,58,3000
964,27,71,2900
473,28,67,3500
11,48,67,700
87,3,72,3800
390,27,55,2600
820,18,52,1600
317,30,78,3600
197,16,52,2000
167,15,64,2200
991,36,55,500
488,39,76,3700
34,30,59,100
345,6,50,4000
592,33,63,600
565,14,53,400
686,24,80,1500
193,4,80,2800
933,50,71,3200
82,41,76,2000
367,20,73,1500
680,17,61,1900
723,24,53,3700
174,27,51,500
1008,52,59,2600
335,26,79,3100
349,17,59,3600
314,6,68,3700
997,29,73,700
999,26,70,2800
409,32,52,2200
701,11,64,2800
180,4,67,1100
1002,51,68,1000
895,32,56,2200
87,23,73,300
927,12,70,2800
140,11,60,3800
930,32,69,3000
887,25,79,2800
336,5,65,700
119,11,68,0
535,1,59,3200
172,46,71,2300
593,24,65,3200
774,1,59,1900
706,3,53,1100
704,11,80,500
654,39,61,1200
249,38,60,3300
116,49,55,1100
280,10,68,400
611,9,58,3100
143,28,66,2900
198,2,59,1200
154,23,60,2700
897,45,71,2500
624,34,66,4000
908,28,64,3600
558,21,71,2400
87,36,65,2800
879,1,56,700
801,13,64,1800
128,10,52,0
622,34,64,1000
700,22,60,200
506,35,76,3200
559,35,59,3900
644,13,62,2800
829,27,75,3500
653,34,69,0
966,36,74,2000
413,51,79,3700
320,40,71,3300
453,7,58,0
496,17,64,3100
789,12,52,2600
407,16,68,3200
678,33,53,1000
387,52,77,500
799,52,69,2800
448,20,65,1300
993,48,78,4000
339,15,70,1700
429,7,55,3400
377,9,68,1200
754,36,69,4000
943,25,76,2300
18,28,68,3000
296,32,55,2700
370,26,50,1000
856,33,66,1600
449,8,61,4000
390,33,53,1100
122,7,65,1700
31,15,69,2100
271,32,65,1200
157,39,52,1700
31,52,63,2600
173,4,52,3500
957,3,52,1400
407,24,59,200
754,19,74,2700
140,13,53,800
950,37,76,2300
619,41,71,500
655,38,71,600
278,51,79,1700
92,37,70,3800
924,15,58,4000
646,29,77,1600
744,14,67,3400
696,24,80,2100
672,31,66,3400
58,9,60,800
603,13,53,3900
698,35,58,1800
74,34,80,2000
60,19,78,900
315,51,69,700
800,21,65,900
92,12,58,2600
507,15,67,0
138,30,68,1700
294,5,54,3900
376,32,70,2400
941,43,59,1800
591,4,59,2500
131,40,50,200
745,4,61,1600
518,14,59,2600
547,36,64,1900
586,5,78,2500
684,21,80,2700
106,3,73,2000
818,10,75,1300
842,21,77,3100
166,4,71,900
809,26,63,700
698,37,52,2700
658,17,69,3300
949,17,79,2100
656,45,62,2700
443,18,58,2200
447,2,77,800
548,33,67,1800
99,13,79,1400
132,22,63,3300
197,5,67,2100
455,30,63,2300
444,39,52,600
339,25,52,3600
607,2,52,2700
992,28,71,1400
529,41,55,3200
938,33,52,3200
11,20,56,2200
539,18,65,3000
816,16,56,2600
603,38,57,200
939,7,52,2000
76,13,77,2900
935,16,66,3800
19,17,55,3700
447,42,66,2800
825,28,55,3500
846,33,56,1300
617,47,72,3100
832,17,68,1600
737,14,73,1600
727,9,72,1500
704,19,73,1300
678,36,63,1900
112,31,65,2200
386,5,59,2500
235,15,79,1000
928,9,50,2800
163,23,76,2100
648,38,72,2500
979,42,69,2000
954,39,77,3600
750,10,77,2200
508,23,50,200
853,43,77,1500
806,3,79,300
251,24,50,3000
601,32,57,3700
807,16,53,100
391,1,66,1300
631,31,68,1600
833,48,59,2200
407,24,66,3400
866,4,53,1100
434,32,77,1500
705,34,55,2900
711,31,61,1600
400,26,67,800
772,45,54,2200
402,1,62,3200
710,21,79,400
322,20,61,3800
419,34,64,3100
519,2,76,2500
79,49,50,3700
157,52,77,2500
874,31,54,200
123,25,57,3900
280,8,56,1200
737,45,72,2300
603,48,67,3300
489,50,79,1600
727,47,67,1300
947,39,61,500
865,37,60,800
817,28,75,3700
733,7,55,3300
675,32,58,500
742,20,73,700
777,4,78,100
372,6,57,2700
88,13,52,2400
336,10,71,2300
29,27,66,4000
367,12,55,3500
662,46,64,1600
189,7,69,1000
851,23,66,2900
717,46,77,200
919,11,57,3100
476,21,76,900
584,52,73,200
740,50,58,1300
451,36,53,1500
35,24,57,2100
924,2,79,800
238,52,51,3100
770,25,59,1800
918,24,63,1100
638,11,75,1700
516,14,80,2900
770,2,55,1200
318,29,78,1500
386,12,61,1400
285,46,61,1700
924,9,60,2600
18,51,69,2300
651,9,53,200
200,18,67,600
929,29,80,2300
246,52,60,2700
95,5,79,2300
689,11,71,1200
413,25,65,400
681,5,65,2000
225,12,74,3600
520,31,57,3500
556,28,78,400
424,43,78,400
343,42,70,2000
429,16,61,1700
954,41,58,1500
1006,3,65,2700
802,19,56,2300
959,17,53,2800
501,43,76,2200
15,7,64,3600
672,49,70,700
766,32,67,2500
578,2,71,300
43,24,74,100
411,15,68,2900
425,8,74,500
135,21,65,2600
927,16,52,2500
227,16,73,1200
706,31,73,600
210,48,78,300
254,31,71,2000
959,46,55,1500
951,21,54,1000
924,33,65,600
270,35,71,3200
18,10,56,3500
301,21,64,1300
253,28,75,1500
932,31,63,700
60,35,74,2000
837,20,77,2600
443,7,71,1900
327,45,70,3500
497,15,75,2900
395,24,57,3800
131,42,75,3300
467,10,67,300
67,30,66,2000
880,4,58,2700
197,9,67,600
614,20,67,3900
769,28,76,1200
575,2,69,1100
56,15,58,2100
156,8,53,2900
452,11,73,3000
900,1,57,1000
159,1,68,2200
826,21,65,1500
500,39,66,1000
722,18,51,3000
288,8,51,2900
27,50,56,3100
235,29,65,1700
869,3,52,4000
931,23,51,3800
35,37,75,100
109,5,71,1500
1009,3,72,3600
159,23,59,2700
851,30,51,1100
653,23,52,2400
996,5,73,2100
931,49,78,2600
86,51,61,2500
843,34,51,400
778,29,68,500
368,20,78,800
248,18,54,3500
230,40,65,2700
820,15,73,2300
678,50,68,1900
760,2,68,2000
999,48,61,900
411,15,57,2400
225,52,63,2600
303,51,55,2100
746,37,61,2500
96,27,57,900
620,17,80,1900
895,8,55,0
603,50,60,0
911,41,77,2500
584,26,52,3100
201,13,74,2300
23,4,77,3600
682,42,64,800
921,45,56,3000
805,20,50,2000
618,43,61,3200
798,51,65,1500
417,10,72,0
269,50,64,3100
846,2,54,3100
350,10,70,800
68,25,73,3200
839,21,71,1400
